Variable,Kind,Default / Example,What it does,Where it goes,Source
MoveRate,unknown,,Example: MoveRate = 0.10,Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx, JIM_Mounts_and_An…"
MoveSpeedLoaded,scalar,,"Formula / Default: MS = MS0*Clamp(1 - E/1.3, 0.35, 1.0) | Notes: Hard floor 35%",Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
MR,stat,,Meaning / Where Used: Morale variable referenced by leadership condition auras (treated as group morale in this addendum). | Leadership (0–10).: Role-group morale (0–100).,Runtime: Character Stats,"JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx, JIM_Leadership_Auras_GDD_Addendum_v0_1-1.docx | JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx"
MS,scalar,,"Example: MS = MS0*Clamp(1 - E/1.3, 0.35, 1.0)",Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
NavMesh,scalar,,ParagraphDef: ['define MountNav areas with width and slope constraints; auto-dismount at transitions.'],Game Tunables / Runtime State,JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1.docx
Net,scalar,,Example: Net = T - Difficulty,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
NIGHT_FRACTION,scalar,0.40,Formula / Notes: 1 − DAYLIGHT_FRACTION,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
NightPredatorAggroMult,scalar,1.25,Applied To: Wildlife aggression | Example: NightPredatorAggroMult = 1.35,Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx, Jovian_Interloper…"
NightRaidRiskMult,scalar,1.35,Applied To: Threat meter gain and raid decision,Data: FactionDefs / RemnantSiteDefs,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
NoiseFactor,scalar,0.7–1.3 (stealth vs sprinting/firing),0.7–1.3 (stealth vs sprinting/firing),Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx, JIM_Mounts_and_An… | Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx"
NoiseMult,,,Schema field (table header).,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
NoiseMult_total,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
NoiseRadiusM,,,Schema field (table header).,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
Notes,scalar,,"Example: Notes = ""General-purpose hardwood; clean cuts; good for boards and field construction.""",Game Tunables / Runtime State,JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx | JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1.docx | JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx | JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_VARFIX.docx | JIM_Crafting_Fabrication_Grinding_and_Construction_GDD_Addendum_v0_5_EXPANSIVE.docx | JIM_Crafting_Fabrication_Grinding_and_Construction_GDD_Addendum_v0_5_EXPANSIVE_VARFIX.docx | JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx | JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx | JIM_Stations_and_Tech_Blueprint_Tree_GDD_v0_1_1.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
NPC_Aim_LightMult,scalar,0.75,Applied To: NPC hit chance without floodlights,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
OpportunityScore,scalar,,Formula: OS = 0.3*Night + 0.4*(BaseAway%) + 0.3*WeakWalls | Notes: Vulnerability,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
OS,scalar,,Example: OS = 0.3*Night + 0.4*(BaseAway%) + 0.3*WeakWalls,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
Outcome,,,Schema field (table header).,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
Output,string,,Recipe output spec (ItemId:Qty or list).,DataTable: Recipes,JIM_Crafting_Fabrication_Grinding_and_Construction_GDD_Addendum_v0_5_EXPANSIVE_VARFIX
OutputMax,,,Schema field (table header).,Game Tunables / Runtime State,JIM_Crafting_Fabrication_Grinding_and_Construction_GDD_Addendum_v0_5_EXPANSIVE.docx | JIM_Crafting_Fabrication_Grinding_and_Construction_GDD_Addendum_v0_5_EXPANSIVE_VARFIX.docx
OutputMin,,,Schema field (table header).,Game Tunables / Runtime State,JIM_Crafting_Fabrication_Grinding_and_Construction_GDD_Addendum_v0_5_EXPANSIVE.docx | JIM_Crafting_Fabrication_Grinding_and_Construction_GDD_Addendum_v0_5_EXPANSIVE_VARFIX.docx
OutputPerMinute,scalar,BaseRate * (1 + 0.12*RoleSkill) * ToolFactor * FatigueFactor * LeaderFactor * E…,Meaning / Where Used: Continuous work model output rate for roles.,Game Tunables / Runtime State,"JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx, Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx | JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx | Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx"
OutputRate,unknown,,Example: OutputRate = BaseRate * WS_heavy * Eff,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
OverEncumbranceFactor,float,,Penalty multiplier when mount is overloaded.,Mount hauling (derived),JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX
OverQualified,unknown,,Example: OverQualified=(Skill-TaskReq)/10 clamped,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
P_cond,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_Leadership_Auras_GDD_Addendum_v0_1-1.docx | JIM_Leadership_Auras_GDD_Addendum_v0_1-1_VARFIX.docx
P_contam,unknown,,"Example: P_contam = Clamp(0.22 - 0.02*FarmSkill - 0.03*Protocols + SporePressure, 0.03, 0.35)",Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx, Jovian_Interloper…"
P_fail,unknown,,"Example: P_fail = Clamp(Debt/250, 0, 0.35)",Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
P_growth,unknown,,Example: P_growth = BaseGrowth*(0.6+0.04*FarmSkill+0.02*Protocols)*SoilFit,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
P_hit,unknown,,Example: P_hit = BaseAcc*AS*(1+0.05*MilitarySkill)*Cover*Range*Light,Runtime: Combat Systems / WeaponDefs,"JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx, Jovian_Interloper_Moon_Math_Bi… | JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx"
P_inf,unknown,,Example: P_inf = BaseInf*(1-0.05*CookingQuality)*(1-0.06*ResearchProtocols),Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
P_miss,unknown,,"Example: P_miss = Clamp(0.60-0.05*DEX-0.04*HuntSkill-0.05*GearQ,0.08,0.85)",Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
P_net,unknown,,Example: P_net = P_gen - P_load,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1.docx | JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_VARFIX.docx
P_panic,unknown,,"Example: P_panic = Clamp(BasePanic * (1 - 0.07*FarmingSkill) + ThreatFactor - ComfortFactor, 0.02, 0.65)",Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx"
P_poison,unknown,,Example: P_poison = BaseRisk * (1 - 0.06*ResearchProtocols)   # ResearchProtocols alias Protocols,Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx, Jovian_Interloper…"
P_spot,unknown,,"Example: P_spot = Clamp(0.25+0.06*PER+0.05*HuntSkill,0.10,0.92)*EnvVis*(1-Noise)",Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
P_spotted,unknown,,"Example: P_spotted = Clamp(0.35-0.04*PER-0.03*HuntSkill+0.08*NightFlag,0.05,0.70)",Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
P_tameFailPerDay,unknown,,"Example: P_tameFailPerDay = Clamp(BaseTameFail * (1 - 0.05*FarmingSkill) + StressFactor, 0.01, 0.35)",Data: MountDefs / Husbandry,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx"
P_trophy,unknown,,Example: P_trophy = 0.02+0.01*HuntSkill,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
P_waste,unknown,,Example: P_waste = 0.12*(1-0.07*HuntSkill),Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
PackSizeMinMax,unknown,,"Example: PackSizeMinMax = [6, 18]",Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx"
PanicThreshold,scalar,,Formula: PT = 35 + 4*COM + 2*Leadership | Notes: Compared vs ThreatStress. | Example: PanicThreshold = 0.55,Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx, JIM_Items_and_Loo…"
Parameter,,,Schema field (table header).,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
ParentArchetypeId,unknown,,Example: ParentArchetypeId = PLT_MAWCAP_BLOOM,Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx, JIM_Mounts_and_An…"
PartDefectChance,scalar,,Meaning: Chance a part fails/defects during certain operations.,Game Tunables / Runtime State,"JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx, JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx, Jovian_Role_Sy… | JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx | Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx"
Parts,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx | JIM_Leadership_Auras_GDD_Addendum_v0_1-1.docx | JIM_Leadership_Auras_GDD_Addendum_v0_1-1_VARFIX.docx
PenQualityFactor,float,,Housing quality multiplier (0..1+).,Husbandry,JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX
PER,stat,,"Range: 0–10 | Primary Effects (quantitative): Detection radius, early warning, scouting value",Runtime: Character Stats,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
PG,scalar,,"Example: PG = Clamp(Net,0,12)/12",Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
PlaceableCategory,enum,,High-level classification of the placeable. | Notes: Structure | Storage | PowerProducer | PowerConsumer | Defense | Utility | Comfort | Lighting | Farming | Husbandry | Logistics.,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
PlaceableId,ID (PL_*),,Canonical identifier for any world-placeable. | Notes: Primary key for Placeables catalog.,Directory: PL_*,JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx | JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1.docx | JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_VARFIX.docx
PlaceableTags,set,,set<string>; filtering and derived metrics,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_VARFIX | JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1.docx | JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_VARFIX.docx
Placement,,,Schema field (table header).,Game Tunables / Runtime State,JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1.docx | JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_VARFIX.docx
PlacementCollisionMode,enum,,Collision strictness for validation. | Notes: Strict | Lenient | GhostAllowed.,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
PlacementConstraintId,ID (PC_*),,"Named constraint rule bundle applied during placement validation. | Notes: Defines surface rules, biome rules, foundation rules, etc.",Directory: PC_*,JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx | JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1.docx | JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_VARFIX.docx
PlacementMaxSlopeDegrees,float,,float,DataTable: PlacementConstraints (PlacementConstraintDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_VARFIX
PlacementPreviewMode,enum,,Preview rendering mode while placing. | Notes: Solid | Hologram | Outline.,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
PlotYieldUnitsPerDay,scalar,crop-specific; scaled by FarmingSkill,crop-specific; scaled by FarmingSkill,Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx, Jovian_Role_Syste… | Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx"
PM,scalar,,Example: PM = 0.9 + 0.08*UniqueParts,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
POIClass,scalar,,Meaning: Micro/Minor/Major/Dungeon.,Data: POIDefs / Worldgen Tunables,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
POIClusterRadiusMeters,scalar,,Meaning: Radius that allows dense Micro POIs inside a debris field.,Data: POIDefs / Worldgen Tunables,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
POICompartment,scalar,,"Meaning: CompartmentId, AccessTags[], ContainerList[]",Data: POIDefs / Worldgen Tunables,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
POIId,scalar,,Meaning: Stable unique identifier for a POI instance.,Data: POIDefs / Worldgen Tunables,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
POIInstance,scalar,,"Meaning: POIId, POITypeId, POIClass, WorldPos, DebrisFieldId?, LootTier?, ScavengedFraction, ControlState?",Data: POIDefs / Worldgen Tunables,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
POITypeId,scalar,,"Meaning: Identifier for the POI archetype (ArmoryWreck, MedBayWreck, etc.).",Data: POIDefs / Worldgen Tunables,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
PowerCapacityKWh,scalar,,Stored capacity (batteries).,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx | JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1.docx | JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_VARFIX.docx
PowerDrawActiveKW,scalar,,Active draw in kW (when operating).,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
PowerDrawIdleKW,scalar,,Idle draw in kW.,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
PowerNodeType,enum,,Defines how this placeable participates in the power grid. | Notes: Producer | Consumer | Battery | Relay.,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
PowerOutputKW,scalar,,Generated output in kW.,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx | JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1.docx | JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_VARFIX.docx
PowerPriority,int,,Priority ordering for grid allocation / load shedding.,Power grid,JIM_Buildables...v0_1_VARFIX
PowerQualityFactor,scalar,,Meaning / Where Used: Power stability/quality multiplier for stations (notably engineering/research). | Meaning: Throughput/reliability factor from power quality.,Game Tunables / Runtime State,"JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx, JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx, Jovian_Role_Sy… | JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx | JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx"
PowerQualityFactor_Buildable,scalar,,Optional throughput/efficiency multiplier from power quality.,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
PowerStabilityContribution,scalar,,Contribution to grid stability/quality.,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
PP_Threshold,unknown,,Example: PP_Threshold = 55,Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx"
PredatorFamily,unknown,,Example: PredatorFamily = Solo_Ambush,Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx"
PredRouteProgress,unknown,,Example: PredRouteProgress = HerdRouteProgress - FollowLag,Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx"
PrereqTechNodeIds,set<id>,,Dependency list of TechNodeId strings required to unlock a node.,Game Tunables / Runtime State,JIM_Stations_and_Tech_Blueprint_Tree_GDD_v0_1_1.docx
PriorityTreeDefault,scalar,Logs > Sticks > Fibrous Reeds > Resin/Sap,Logs > Sticks > Fibrous Reeds > Resin/Sap,Game Tunables / Runtime State,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
Probability,,,Schema field (table header).,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
Progress,,,"PG = Clamp(Net,0,12)/12",Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
Prototype,,,Schema field (table header).,Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
PT,scalar,,Example: PT = 35 + 4*COM + 2*Leadership,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
PullPriority,scalar,,"Meaning / Where Used: Ordering/priority for station pulls across eligible depots.
---
Priority used when multiple stations compete for the same inputs.",Automation + stations | Game Tunables / Runtime State,"JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx, Jovian_Role_System_GDD_High_Level_v0_1-1.docx; JIM_Stations_and_Tech_Blueprint_Tree_GDD_v0_1_1 | JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx"
PullRadiusMeters,scalar,25m default (stations pull from depots within this radius).,"Meaning / Where Used: Station/structure pull radius for materials in depots. | Meaning: Max distance for stations to pull items/components for processing.
---
Radius within which roles/stations can pull required inputs.",Automation + roles | Game Tunables / Runtime State,"JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx, JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx, Jovian_Role_Sy…; Jovian_Role_System_GDD_Math_Implementation_v0_1-1 | JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx | JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx | Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx"
Q_hide,unknown,,"Example: Q_hide = Clamp(0.3+0.06*DEX+0.04*HuntSkill,0.2,0.95)",Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
QuarantinePen_T1,scalar,,Notes / Defaults: Isolated pen; contamination control; required for Unknown feed trials.,Game Tunables / Runtime State,JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1.docx
Queue,,,Schema field (table header).,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
Range,scalar,,Example: Range = exp(-dist/40m),Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
Rare,,,Schema field (table header).,Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
Rarity,,,enum,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx | JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
Rate,unknown,,Example: Rate=Base*(1+0.05*EngSkill)*Eff,Game Tunables / Runtime State,"Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx, Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx"
RateMult,unknown,,"Example: RateMult = Clamp(0.35 + 0.65*(P_gen/P_load), 0.35, 1.0)",Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
RawEffect,,,Schema field (table header).,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
RazorstoneRidge,scalar,,ParagraphDef: ['tool-material harvest + traversal hazard.'],Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
RecipeId,ID,,Canonical identifier for a crafting recipe.,DataTable: Recipes,JIM_Crafting_Fabrication_Grinding_and_Construction_GDD_Addendum_v0_5_EXPANSIVE_VARFIX
RecoveryRatePerDay,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1.docx | JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX.docx
RecRate,unknown,,Example: RecRate = BaseRec*(1+0.08*MedSupport),Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
ReinHarness,scalar,,"ParagraphDef: ['improves turning/control; reduces runaway chance during attacks.', 'improves turning/control; reduces runaway chance during attacks.']",Data: MountDefs / Husbandry,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx"
ReloadS,,,Schema field (table header).,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
Remnant,,,Schema field (table header).,Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
RemnantSiteId,scalar,,Meaning: Unique identifier for a Remnant site.,Data: FactionDefs / RemnantSiteDefs,JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx
RepairAmountPerItem,scalar,,HP restored per RepairItemId consumed.,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
RepairCostMultPerTier,scalar,,Repair input multiplier by StructuralTier.,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
RepairCostPerHP,float,,Repair input cost per HP restored (class-level).,Repair system (RepairClassDef),JIM_Buildables...v0_1_VARFIX
RepairDebtRemoved,unknown,,Example: RepairDebtRemoved = RepairPoints*0.8,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
RepairInputTags,set<string>,,Set of item tags that qualify as repair inputs.,Repair system (RepairClassDef),JIM_Buildables...v0_1_VARFIX
RepairItemId,ItemId,,"Item consumed per repair ""tick"".",DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
RepairRate,unknown,,Example: RepairRate = BaseRate * WS_finesse * Eff,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
RepairRatePerMinute,,,Referenced symbol in formula text.,Game Tunables / Runtime State,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
RepairRequiresPower,bool,,"If true, the placeable must be powered to repair.",Repair system (RepairClassDef),JIM_Buildables...v0_1_VARFIX
RepairRoleReq,enum,,"Role gating for repairs (if any). | Notes: e.g., Builder/Engineer.",DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
